Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Alex,tvui,playback,,,2021-09-30 18:33:02
Alex,tvui,browseTitles,,,2021-09-30 18:33:02
Alex,tvui,profilesGate,,,2021-09-30 18:32:34
Alex,tvui,browseTitles,,,2021-09-30 18:32:34
Alex,tvui,movieDetails,,,2021-09-25 19:06:02
Alex,tvui,playback,,,2021-09-25 19:06:02
Alex,tvui,search,,,2021-09-25 19:05:59
Alex,tvui,movieDetails,,,2021-09-25 19:05:59
Alex,tvui,browseTitles,,,2021-09-25 19:05:40
Alex,tvui,search,,,2021-09-25 19:05:40
Alex,tvui,movieDetails,,,2021-09-25 19:05:04
Alex,tvui,browseTitles,,,2021-09-25 19:05:04
Alex,tvui,playback,,,2021-09-25 19:04:58
Alex,tvui,movieDetails,,,2021-09-25 19:04:58
Alex,tvui,movieDetails,,,2021-09-25 19:00:31
Alex,tvui,playback,,,2021-09-25 19:00:31
Alex,tvui,browseTitles,,,2021-09-25 19:00:24
Alex,tvui,movieDetails,,,2021-09-25 19:00:24
Alex,tvui,profilesGate,,,2021-09-25 18:58:13
Alex,tvui,browseTitles,,,2021-09-25 18:58:13
Alex,tvui,movieDetails,,,2021-09-24 19:46:58
Alex,tvui,playback,,,2021-09-24 19:46:58
Alex,tvui,browseTitles,,,2021-09-24 19:46:54
Alex,tvui,movieDetails,,,2021-09-24 19:46:54
Alex,tvui,profilesGate,,,2021-09-24 19:46:37
Alex,tvui,browseTitles,,,2021-09-24 19:46:37
Alex,tvui,profilesGate,,,2021-09-24 06:50:00
Alex,tvui,profilesGate,,,2021-09-24 06:22:15
Alex,tvui,movieDetails,,,2021-09-24 06:22:15
Alex,tvui,screenSaver,,,2021-09-24 06:12:23
Alex,tvui,movieDetails,,,2021-09-24 06:12:23
Alex,tvui,movieDetails,,,2021-09-24 05:57:15
Alex,tvui,screenSaver,,,2021-09-24 05:57:15
Alex,tvui,postPlay,,,2021-09-24 05:52:16
Alex,tvui,movieDetails,,,2021-09-24 05:52:16
Alex,tvui,playback,,,2021-09-24 05:52:15
Alex,tvui,postPlay,,,2021-09-24 05:52:15
Alex,tvui,movieDetails,,,2021-09-24 05:28:23
Alex,tvui,playback,,,2021-09-24 05:28:23
Alex,tvui,playback,,,2021-09-24 05:27:26
Alex,tvui,movieDetails,,,2021-09-24 05:27:26
