Profile Name,Title Name,Country,Utc Title Add Date
Alex,The Water Man,New Zealand,2021-07-23
Alex,Fantastic Mr. Fox,New Zealand,2021-07-23
Alex,Transformers: Age of Extinction,New Zealand,2021-06-26
Alex,Are We There Yet?,New Zealand,2021-06-18
Alex,The Adventures of Sharkboy and Lavagirl,New Zealand,2021-06-18
Alex,Indiana Jones and the Kingdom of the Crystal Skull,New Zealand,2021-06-11
Alex,Sweet Tooth,New Zealand,2021-06-11
Alex,Dora and the Lost City of Gold,New Zealand,2021-06-11
Alex,Ace Ventura: When Nature Calls,New Zealand,2021-06-04
Alex,The Legend of Zorro,New Zealand,2021-05-29
Alex,The Mask of Zorro,New Zealand,2021-05-29
Alex,Ready Player One,New Zealand,2021-05-28
Alex,Transformers,New Zealand,2021-05-28
Alex,Wonder,New Zealand,2021-05-28
Alex,Ace Ventura: Pet Detective,New Zealand,2021-05-28
Alex,Men in Black,New Zealand,2021-05-21
Alex,Johnny English Reborn,New Zealand,2021-05-21
Alex,Robin Hood: Men in Tights,New Zealand,2021-05-01
Alex,Johnny English,New Zealand,2021-04-27
Alex,Batman Begins,New Zealand,2020-10-17
Alex,Bumblebee,New Zealand,2020-10-17
Alex,Green Lantern,New Zealand,2020-10-08
Alex,Jurassic World Camp Cretaceous,New Zealand,2020-09-19
Alex,Total Drama,New Zealand,2020-09-19
Alex,Surf's Up: Wave Mania,New Zealand,2019-12-23
Alex,The Universe,New Zealand,2019-10-10
Alex,Earth: One Amazing Day,New Zealand,2019-10-10
Alex,Our Planet,New Zealand,2019-10-10
Alex,The Epic Tales of Captain Underpants,New Zealand,2019-08-31
Alex,The Flintstones,New Zealand,2019-08-31
Alex,Kicking & Screaming,New Zealand,2019-08-31
Alex,Pan,New Zealand,2019-08-30
Alex,Peter Pan,New Zealand,2019-08-30
Alex,The Epic Tales of Captain Underpants,New Zealand,2019-05-25
Alex,Oggy and the Cockroaches,New Zealand,2019-02-24
Cruzer,Midnight Mass,New Zealand,2021-09-28
Cruzer,The Starling,New Zealand,2021-09-25
Cruzer,Midnight Mass,New Zealand,2021-09-24
Cruzer,Ladies in Black,New Zealand,2021-09-18
Cruzer,Clickbait,New Zealand,2021-09-01
Cruzer,Family Reunion,New Zealand,2021-08-27
Cruzer,The Innocent,New Zealand,2021-08-19
Cruzer,Gone for Good,New Zealand,2021-08-19
Cruzer,Downton Abbey,New Zealand,2021-08-13
Cruzer,This Little Love Of Mine,New Zealand,2021-07-11
Cruzer,Bridget Jones's Baby,New Zealand,2021-07-03
Cruzer,Requiem,New Zealand,2021-07-03
Cruzer,Halston,New Zealand,2021-06-06
Cruzer,The Woman in the Window,New Zealand,2021-05-22
Cruzer,Just Say Yes,New Zealand,2021-05-22
Cruzer,Who Killed Sara?,New Zealand,2021-05-21
Cruzer,The Woman in the Window,New Zealand,2021-05-15
Cruzer,Palm Beach,New Zealand,2021-04-13
Cruzer,Thunder Force,New Zealand,2021-04-09
Cruzer,Concrete Cowboy,New Zealand,2021-04-03
Cruzer,The One,New Zealand,2021-03-28
Cruzer,Country Comfort,New Zealand,2021-03-20
Cruzer,Deadly Illusions,New Zealand,2021-03-18
Cruzer,The Bold Type,New Zealand,2021-03-09
