Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Alex,Puss in Boots,Android DefaultWidevineL3Tablet Android Tablet,2016-12-26 18:55:46,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2488,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":19488,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":21180,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":22400,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":22525,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":23115,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":24438,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":73253,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":282780,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1754780,""mediaOffsetMs"":null}]"
Alex,Shrek the Third,Android DefaultWidevineL3Tablet Android Tablet,2016-12-26 18:28:36,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":6450,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":902450,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1294212,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1493464,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":1493839,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1495416,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1524416,""mediaOffsetMs"":null}]"
Alex,Shrek the Third,Android DefaultWidevineL3Tablet Android Tablet,2016-12-26 04:32:23,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1844,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":94306,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":246155,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":551516,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":1482368,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2028372,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":2165906,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2173652,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":2174064,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2174979,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3441610,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3493345,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":4876114,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":5777182,""mediaOffsetMs"":null}]"
Alex,Shrek,Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 21:46:14,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":1890,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":18126,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":505126,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":505127,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":505890,""mediaOffsetMs"":null}]"
Alex,"DreamWorks Spooky Stories: Volume 1: ""Scared Shrekless""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 21:45:52,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1801,""mediaOffsetMs"":null}]"
Alex,"DreamWorks Shrek's Swamp Stories: Volume 1: ""Scared Shrekless""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 21:45:07,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":4006,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":34006,""mediaOffsetMs"":null}]"
Alex,"DreamWorks Shrek's Swamp Stories: Volume 1: ""Play All Three: Shrek's Swamp Stories""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 21:05:37,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":4088,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":772088,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":799593,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":2369600,""mediaOffsetMs"":null}]"
Alex,"DreamWorks Spooky Stories: Volume 1: ""Monsters vs. Aliens: Mutant Pumpkins from Outer Space""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 20:43:47,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":2560,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":1308208,""mediaOffsetMs"":null}]"
Alex,"DreamWorks Spooky Stories: Volume 1: ""Monsters vs. Aliens: Mutant Pumpkins from Outer Space""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 20:42:11,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3363,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":85363,""mediaOffsetMs"":null}]"
Alex,"DreamWorks Spooky Stories: Volume 1: ""Play All Three: DreamWorks Spooky Stories""",Android DefaultWidevineL3Tablet Android Tablet,2016-12-25 19:45:55,NZ,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":9851,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3336266,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":3336758,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3338218,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3340199,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":3340573,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3343380,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3343475,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":3343881,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3345630,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3347321,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":3347656,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3349164,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3355732,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":3356110,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3356598,""mediaOffsetMs"":null},{""eventType"":""paused"",""sessionOffsetMs"":3357464,""mediaOffsetMs"":null},{""eventType"":""reposition"",""sessionOffsetMs"":3358451,""mediaOffsetMs"":null},{""eventType"":""playing"",""sessionOffsetMs"":3358880,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":3365880,""mediaOffsetMs"":null}]"
