Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Alex,NZ,Smart TV,0,p,Penguins of Madagascar: The Movie,play,video_info,2021-09-25 19:06:02
Alex,NZ,Smart TV,0,p,Penguins of Madagascar: The Movie,view_video_info,title_results,2021-09-25 19:05:59
Alex,NZ,MVPD STB,0,k,The Karate Kid,play,video_info,2021-09-02 07:23:36
Alex,NZ,MVPD STB,0,k,The Karate Kid,view_video_info,title_results,2021-09-02 07:23:29
Alex,NZ,MVPD STB,0,k,The Karate Kid,view_video_info,title_results,2021-09-02 07:23:22
Alex,NZ,MVPD STB,0,comi,Coming to America,play,video_info,2021-08-28 03:55:43
Alex,NZ,MVPD STB,0,comi,Coming to America,view_video_info,title_results,2021-08-28 03:55:39
Alex,NZ,MVPD STB,0,men,Men in Black,view_video_info,suggestion_title_results,2021-08-21 03:35:50
Alex,NZ,MVPD STB,0,men,Men in Black II,view_suggestion_info,suggestion_results,2021-08-21 03:35:48
Alex,NZ,MVPD STB,0,me,Men in Black,view_video_info,title_results,2021-08-21 03:35:31
Alex,NZ,Smart TV,0,hot,Hotel Transylvania 3: Summer Vacation,view_video_info,title_results,2021-07-02 20:29:47
Alex,NZ,MVPD STB,0,zo,The Legend of Zorro,play,video_info,2021-06-19 08:01:00
Alex,NZ,MVPD STB,0,zo,The Legend of Zorro,view_video_info,title_results,2021-06-19 08:00:56
Alex,NZ,MVPD STB,0,roo,Room on the Broom,play,video_info,2021-06-11 07:26:48
Alex,NZ,MVPD STB,0,roo,Room on the Broom,view_video_info,title_results,2021-06-11 07:26:43
Alex,NZ,MVPD STB,0,jonn,Johnny English Reborn,view_video_info,title_results,2021-05-21 05:33:06
Alex,NZ,iPad,0,planet of the apes,Godzilla,view_video_info,title_results,2021-05-01 09:25:02
Alex,NZ,iPad,0,king kong,GODZILLA Planet of the Monsters,view_video_info,title_results,2021-05-01 09:24:12
Alex,NZ,iPad,0,king kong,Kong: King of the Apes,view_video_info,title_results,2021-05-01 09:24:02
Alex,NZ,Smart TV,0,d,Despicable Me,play,video_info,2021-04-17 20:23:36
Alex,NZ,Smart TV,0,d,Despicable Me,view_video_info,title_results,2021-04-17 20:23:29
Alex,NZ,MVPD STB,0,scho,School of Rock,play,video_info,2021-04-10 07:54:50
Alex,NZ,MVPD STB,0,scho,School of Rock,view_video_info,title_results,2021-04-10 07:54:48
Alex,NZ,MVPD STB,0,schoo,School of Rock,view_video_info,title_results,2021-04-10 06:20:24
Alex,NZ,MVPD STB,0,thu,Thunder Force,play,video_info,2021-04-10 00:05:58
Alex,NZ,MVPD STB,0,thu,Thunder Force,view_video_info,title_results,2021-04-10 00:05:55
Alex,NZ,MVPD STB,0,j,Jurassic Park,play,video_info,2021-03-06 01:55:16
Alex,NZ,MVPD STB,0,j,Jurassic Park,view_video_info,title_results,2021-03-06 01:54:55
Alex,NZ,MVPD STB,0,home,How the Grinch Stole Christmas,view_video_info,suggestion_title_results,2020-12-23 06:02:56
Alex,NZ,MVPD STB,0,home,Home Alone,view_suggestion_info,suggestion_results,2020-12-23 06:02:52
Alex,NZ,Smart TV,0,bo,The Boss Baby: Get That Baby!,play,video_info,2020-11-20 18:50:53
Alex,NZ,Smart TV,0,bo,The Boss Baby: Get That Baby!,view_video_info,title_results,2020-11-20 18:50:49
Alex,NZ,MVPD STB,0,sp,The Amazing Spider-Man 2,play,video_info,2020-11-07 03:09:26
Alex,NZ,MVPD STB,0,sp,The Amazing Spider-Man 2,view_video_info,title_results,2020-11-07 03:09:22
Alex,NZ,MVPD STB,0,bo,The Boss Baby: Get That Baby!,play,video_info,2020-10-22 02:11:58
Alex,NZ,MVPD STB,0,bo,The Boss Baby: Get That Baby!,view_video_info,title_results,2020-10-22 02:11:55
Alex,NZ,MVPD STB,0,spi,Spider-Man,view_suggestion_info,suggestion_results,2020-10-09 04:29:26
Alex,NZ,MVPD STB,0,the ama,Spider-Man: Homecoming,view_video_info,title_results,2020-10-09 04:27:56
Alex,NZ,MVPD STB,0,go,Goosebumps,play,video_info,2020-10-08 03:36:19
Alex,NZ,MVPD STB,0,go,Goosebumps,view_video_info,title_results,2020-10-08 03:36:08
Alex,NZ,MVPD STB,0,latt,Latte and the Magic Waterstone,play,video_info,2020-08-19 02:56:04
Alex,NZ,MVPD STB,0,latt,Latte and the Magic Waterstone,view_video_info,title_results,2020-08-19 02:55:58
Alex,NZ,MVPD STB,0,ba,Back to the Future Part II,play,video_info,2020-08-01 06:41:38
Alex,NZ,MVPD STB,0,ba,Back to the Future Part II,view_video_info,title_results,2020-08-01 06:39:12
Alex,NZ,Smart TV,0,tin,The Adventures of Tintin,play,video_info,2020-07-30 06:51:47
Alex,NZ,Smart TV,0,tin,The Adventures of Tintin,view_video_info,title_results,2020-07-30 06:51:41
Alex,NZ,MVPD STB,0,sn,Robin Hood,play,video_info,2020-07-18 05:12:33
Alex,NZ,MVPD STB,0,sn,Robin Hood,view_video_info,title_results,2020-07-18 05:12:30
Alex,NZ,MVPD STB,0,little ra,The Little Rascals Save the Day,view_suggestion_info,suggestion_results,2020-07-03 06:10:14
Alex,NZ,MVPD STB,0,li,The Little Rascals,play,video_info,2020-06-12 05:26:02
Alex,NZ,MVPD STB,0,li,The Little Rascals,view_video_info,title_results,2020-06-12 05:25:58
Alex,NZ,MVPD STB,1,sur,Power Rangers Mystic Force,play,video_info,2020-01-30 03:08:33
Alex,NZ,MVPD STB,1,sur,Power Rangers Mystic Force,view_video_info,suggestion_title_results,2020-01-30 03:08:29
Alex,NZ,MVPD STB,1,sur,Superheroes,view_suggestion_info,suggestion_results,2020-01-30 03:08:19
Alex,NZ,MVPD STB,1,s,Sonic X,view_video_info,suggestion_title_results,2020-01-30 03:07:09
Alex,NZ,MVPD STB,1,s,Sonic the Hedgehog,view_suggestion_info,suggestion_results,2020-01-30 03:07:04
Alex,NZ,MVPD STB,1,yo,Young Justice,play,video_info,2020-01-29 04:53:33
Alex,NZ,MVPD STB,1,yo,Young Justice,view_video_info,title_results,2020-01-29 04:53:32
Alex,NZ,MVPD STB,1,yo,Young Justice,play,video_info,2020-01-29 04:52:24
Alex,NZ,MVPD STB,1,yo,Young Justice,view_video_info,title_results,2020-01-29 04:52:22
Alex,NZ,iPad,1,young ,Young Justice,play,video_info,2020-01-29 03:13:39
Alex,NZ,iPad,1,young ,Young Justice,view_video_info,title_results,2020-01-29 03:13:29
Alex,NZ,MVPD STB,1,yo,Young Justice,play,video_info,2020-01-29 02:22:28
Alex,NZ,MVPD STB,1,yo,Young Justice,view_video_info,title_results,2020-01-29 02:20:45
Alex,NZ,MVPD STB,1,t,Teen Titans Go!,play,video_info,2020-01-19 04:48:40
Alex,NZ,MVPD STB,1,t,Teen Titans Go!,view_video_info,title_results,2020-01-19 04:48:38
Alex,US,iPad,1,scooby doo,Charlie and the Chocolate Factory,view_video_info,title_results,2020-01-10 12:58:37
Alex,US,iPad,1,scooby doo,Scooby-Doo!: Mystery Incorporated,play,video_info,2020-01-10 12:58:20
Alex,US,iPad,1,scooby doo,Scooby-Doo!: Mystery Incorporated,view_video_info,title_results,2020-01-10 12:58:16
Alex,NZ,HTML 5,1,bear gri,You vs. Wild,play,video_info,2019-12-23 04:06:33
Alex,NZ,HTML 5,1,bear gri,You vs. Wild,view_video_info,title_results,2019-12-23 04:06:26
Alex,NZ,MVPD STB,1,king,All Hail King Julien: Exiled,play,video_info,2019-12-14 03:19:59
Alex,NZ,MVPD STB,1,king,All Hail King Julien: Exiled,view_video_info,title_results,2019-12-14 03:19:56
Alex,NZ,MVPD STB,1,cat,The Cat in the Hat Knows a Lot About That!,play,video_info,2019-11-29 00:07:44
Alex,NZ,MVPD STB,1,cat,The Cat in the Hat Knows a Lot About That!,view_video_info,title_results,2019-11-29 00:07:43
Alex,NZ,MVPD STB,1,p,Paddington 2,play,video_info,2019-10-19 04:05:57
Alex,NZ,MVPD STB,1,p,Paddington 2,view_video_info,title_results,2019-10-19 04:05:55
Alex,NZ,iPad,1,earth,Our Planet,view_video_info,title_results,2019-10-10 20:11:19
Alex,NZ,iPad,1,earth,Earth: One Amazing Day,view_video_info,title_results,2019-10-10 20:10:59
Alex,NZ,iPad,1,earth,Our Planet,view_video_info,title_results,2019-10-10 20:10:48
Alex,NZ,iPad,1,earth,The Universe,view_video_info,title_results,2019-10-10 20:10:34
Alex,NZ,iPad,1,earth,Brain Games,play,video_info,2019-10-10 20:09:01
Alex,NZ,iPad,1,earth,Brain Games,view_video_info,title_results,2019-10-10 20:08:11
Alex,NZ,MVPD STB,1,bear g,Our Planet,play,video_info,2019-10-10 07:51:33
Alex,NZ,MVPD STB,1,bear g,Our Planet,view_video_info,title_results,2019-10-10 07:51:24
Alex,NZ,MVPD STB,1,bear g,You vs. Wild,play,video_info,2019-10-10 07:50:46
Alex,NZ,MVPD STB,1,bear g,You vs. Wild,view_video_info,title_results,2019-10-10 07:50:37
Alex,NZ,Android Tablet,1,sti,Geronimo Stilton,play,video_info,2019-05-25 20:54:38
Alex,NZ,Android Tablet,1,sti,Geronimo Stilton,view_video_info,title_results,2019-05-25 20:40:35
Alex,NZ,Android Tablet,1,still,Horrid Henry,view_video_info,title_results,2019-05-25 20:40:15
Alex,NZ,Android Tablet,1,g,Despicable Me,view_video_info,title_results,2019-05-25 20:37:00
Alex,NZ,iPad,1,harry,Harry Potter and the Philosopher's Stone,view_video_info,title_results,2019-03-31 03:11:29
Alex,NZ,Android,1,home alone,alvin and the chipmunks,view_video_info,video_info,2018-03-23 05:56:11
Alex,NZ,Android,1,home alone,alvin and the chipmunks,play,video_info,2018-03-23 05:56:10
Alex,NZ,Android,1,home alone,alvin and the chipmunks,view_video_info,title_results,2018-03-23 05:56:07
Alex,NZ,Android,1,kung ,kung fu panda: secrets of the scroll,view_video_info,video_info,2018-01-02 03:28:56
Alex,NZ,Android,1,kung ,kung fu panda: secrets of the scroll,play,video_info,2018-01-02 03:28:54
Alex,NZ,Android,1,kung ,kung fu panda: secrets of the scroll,view_video_info,title_results,2018-01-02 03:28:51
Alex,NZ,Android Tablet,1,shrek,shrek,play,video_info,2016-12-25 21:46:14
Alex,NZ,Android Tablet,1,shrek,shrek,view_video_info,video_info,2016-12-25 21:46:11
Alex,NZ,Android Tablet,1,shrek,dreamworks spooky stories,view_video_info,video_info,2016-12-25 21:45:55
Alex,NZ,Android Tablet,1,shrek,dreamworks spooky stories,play,video_info,2016-12-25 21:45:53
Alex,NZ,Android Tablet,1,shrek,dreamworks shrek's swamp stories,view_video_info,video_info,2016-12-25 21:45:50
Alex,NZ,Android Tablet,1,shrek,dreamworks shrek's swamp stories,play,video_info,2016-12-25 21:45:09
Alex,NZ,Android Tablet,1,shrek,dreamworks shrek's swamp stories,play,video_info,2016-12-25 21:05:39
Alex,NZ,Android Tablet,1,shrek,dreamworks spooky stories,play,video_info,2016-12-25 20:43:49
