Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alex,2021-10-01 19:10:03,00:49:09,,Penguins of Madagascar: The Movie,,Sony CE Sony CE 2014 Core DTV Smart TV,01:18:00,01:18:00,NZ (New Zealand)
Alex,2021-10-01 18:35:51,00:33:40,,Sonic the Hedgehog,,Sony CE Sony CE 2014 Core DTV Smart TV,01:30:34,01:30:34,NZ (New Zealand)
Alex,2021-09-30 18:33:05,00:56:54,,Sonic the Hedgehog,,Sony CE Sony CE 2014 Core DTV Smart TV,00:56:54,Not latest view,NZ (New Zealand)
Alex,2021-09-25 19:06:04,00:23:58,,Penguins of Madagascar: The Movie,,Sony CE Sony CE 2014 Core DTV Smart TV,00:24:42,Not latest view,NZ (New Zealand)
Alex,2021-09-25 19:00:33,00:03:58,,Dolittle,,Sony CE Sony CE 2014 Core DTV Smart TV,01:30:11,01:30:11,NZ (New Zealand)
Alex,2021-09-24 19:47:01,00:58:02,,Dolittle,,Sony CE Sony CE 2014 Core DTV Smart TV,01:25:14,Not latest view,NZ (New Zealand)
Alex,2021-09-24 05:28:22,00:23:45,,Battlebots: Season 2: One Shining Bot: The Championship (Episode 11),,HiSilicon HiMediaDishSV10 Set Top Box,00:46:39,00:46:39,NZ (New Zealand)
Alex,2021-09-24 05:02:51,00:22:59,,Battlebots: Season 2: One Shining Bot: The Championship (Episode 11),,HiSilicon HiMediaDishSV10 Set Top Box,00:22:59,Not latest view,NZ (New Zealand)
Alex,2021-09-24 04:17:12,00:45:35,,Battlebots: Season 2: Gr8 Expectations: The Quarterfinals (Episode 10),,HiSilicon HiMediaDishSV10 Set Top Box,00:45:35,00:45:35,NZ (New Zealand)
Alex,2021-09-24 03:52:38,00:24:21,,Battlebots: Season 2: Rise of the Machines: The Round of 16 Part 2 (Episode 9),,HiSilicon HiMediaDishSV10 Set Top Box,00:46:06,00:46:06,NZ (New Zealand)
Alex,2021-09-23 20:00:44,00:27:13,,Dolittle,,Sony CE Sony CE 2014 Core DTV Smart TV,00:27:13,Not latest view,NZ (New Zealand)
Alex,2021-09-23 19:59:14,00:00:11,,You vs. Wild: Out Cold,,Sony CE Sony CE 2014 Core DTV Smart TV,00:00:11,00:00:11,NZ (New Zealand)
