Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Wilhelmus,NFCDIE-03-HNFTN4HDFYFKPQCTCKXQ17RAU0KQ1P,Edge OSS - Windows (Cadmium),2021-10-01T19:51:31.708Z,2021-10-01T19:51:31.708Z,,,2021-10-01T19:51:31.708Z,2021-10-01T19:51:31.708Z,,,
Alex,SONY-CTV140000000000000007457208,Sony CE Sony CE 2014 Core DTV Smart TV,2020-07-19T01:10:49.238Z,2021-10-01T19:10:03.168Z,2020-07-19T01:10:49.238Z,2021-10-01T19:10:03.168Z,2020-07-19T01:10:49.238Z,2021-10-01T19:10:03.168Z,2020-07-19T01:10:49.238Z,2021-10-01T19:10:03.168Z,
Cruzer,NFAPPL-01-IPAD7=5-1D7FD2E25DC8D08A8581A7A410AEB866A9B27842F2FB756F918B160C8B102B0D,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,2019-10-02T07:31:10.885Z,2021-10-01T08:53:48.420Z,2019-10-02T07:31:10.885Z,2021-10-01T08:53:48.420Z,2019-10-02T20:30:27.261Z,2021-10-01T08:53:48.420Z,2019-10-02T20:30:27.261Z,2021-10-01T08:53:48.420Z,
Cruzer,NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,HiSilicon HiMediaDishSV10 Set Top Box,2019-10-10T07:50:45.063Z,2021-09-29T07:50:12.547Z,2019-10-10T07:50:45.063Z,2021-09-29T07:50:12.547Z,2019-10-12T23:31:12.614Z,2021-09-29T07:50:12.547Z,2019-10-12T23:31:12.614Z,2021-09-29T07:50:12.547Z,
Wilhelmus,NFAPPL-01-IPAD4=2-DE4126F171ACB5D089ACFA06509D88809E69D64D56E3B4A0198D594D93FEBB66,iPad Air Cellular,2019-07-29T08:39:38.573Z,2021-09-25T18:44:28.718Z,2019-10-15T07:26:05.688Z,2021-09-25T18:44:28.718Z,2019-07-29T08:39:38.573Z,2021-09-25T18:44:28.718Z,2019-10-15T07:26:05.688Z,2021-09-25T18:44:28.718Z,
Alex,NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,HiSilicon HiMediaDishSV10 Set Top Box,2019-10-10T07:50:45.063Z,2021-09-29T07:50:12.547Z,2019-10-10T07:50:45.063Z,2021-09-29T07:50:12.547Z,2019-10-10T07:50:45.063Z,2021-09-24T05:28:22.961Z,2019-10-10T07:50:45.063Z,2021-09-24T05:28:22.961Z,
Wilhelmus,NFCDIE-03-HG1FETYD0XCMTNR5XY4ARM6KW65DT9,Edge OSS - Windows (Cadmium),2021-09-06T00:26:29.363Z,2021-09-06T00:27:00.759Z,2021-09-06T00:26:39.613Z,2021-09-06T00:26:39.613Z,2021-09-06T00:26:29.363Z,2021-09-06T00:27:00.759Z,2021-09-06T00:26:39.613Z,2021-09-06T00:26:39.613Z,
Wilhelmus,NFANDROID2-PRV-HIMEDIADISHSV10-HIMEDSV10-10094-EFF3AEBDC7A55C4B6C673B77E255D7E241EC48FD787B43F3F3FB25F6041754DE,HiSilicon HiMediaDishSV10 Set Top Box,2019-10-10T07:50:45.063Z,2021-09-29T07:50:12.547Z,2019-10-10T07:50:45.063Z,2021-09-29T07:50:12.547Z,2019-10-10T07:54:39.925Z,2021-08-25T07:19:16.834Z,2019-10-10T07:54:39.925Z,2021-08-25T07:19:16.834Z,
Cruzer,NFCDCH-02-FZQGFH54CF5YWAMEJL28HHQ41XDR6H,Chrome PC (Cadmium),2019-12-19T20:21:10.270Z,2021-08-04T04:48:12.661Z,2019-12-19T20:21:10.270Z,2021-08-04T04:28:05.652Z,2020-01-30T21:05:48.585Z,2021-08-04T04:48:12.661Z,2020-01-30T21:05:48.585Z,2021-08-04T04:28:05.652Z,
Cruzer,NFCDCH-02-FUFW4JH1XV3F1PEYC8U201T1LKDUAN,Chrome PC (Cadmium),2021-01-24T21:34:53.052Z,2021-06-30T04:34:42.148Z,2021-01-24T21:34:53.052Z,2021-06-30T04:34:42.148Z,2021-01-24T21:34:53.052Z,2021-06-30T04:34:42.148Z,2021-01-24T21:34:53.052Z,2021-06-30T04:34:42.148Z,
